,Fall,College,Major Name,Total,Male,Female
641,1983,Applied Health Sciences,Kinesiology,236,132,104
647,1983,Applied Health Sciences,PROG MANAG,107,43,64
651,1983,Applied Health Sciences,THER REC,91,11,80
642,1983,Applied Health Sciences,Leisure Studies,44,18,26
645,1983,Applied Health Sciences,OUTDR REC,41,17,24
634,1983,Applied Health Sciences,Biology,35,15,20
639,1983,Applied Health Sciences,HLTH EDUC,25,1,24
635,1983,Applied Health Sciences,CUR INST 2,21,3,18
640,1983,Applied Health Sciences,HLTH PL AD,15,4,11
643,1983,Applied Health Sciences,MOTOR DEV,11,0,11
