,Fall,College,Major Name,Total,Male,Female,Illinois,Non-Illinois
3444,1997,Applied Health Sciences,Kinesiology,497,228,269,432,65
3445,1997,Applied Health Sciences,Leisure Studies,115,62,53,89,26
3443,1997,Applied Health Sciences,HLTH PL AD,111,30,81,107,4
3442,1997,Applied Health Sciences,HLTH EDUC,53,5,48,53,0
3448,1997,Applied Health Sciences,PROG MANAG,46,19,27,43,3
3449,1997,Applied Health Sciences,"Recreation, Sport, and Tourism ",27,12,15,27,0
3450,1997,Applied Health Sciences,Rehabilitation,8,3,5,3,5
3446,1997,Applied Health Sciences,MSPH IN C HLTH,6,2,4,4,2
3447,1997,Applied Health Sciences,PARK & NR MGMT,5,2,3,5,0
3441,1997,Applied Health Sciences,Biology,1,1,0,1,0
