,Fall,College,Major Name,Total,Male,Female
2479,1992,Education,Elementary Education,377,27,350
2474,1992,Education,EDUC GEN,190,51,139
2473,1992,Education,EDUC ELEMENTARY,146,15,131
2472,1992,Education,ED SEC&CON,139,48,91
2478,1992,Education,Educational Psychology,136,35,101
2480,1992,Education,Special Education,96,9,87
2476,1992,Education,Ed Organization and Leadership,95,33,62
2477,1992,Education,Educ Voc Tech,69,33,36
2475,1992,Education,Early Childhood Education,67,1,66
2485,1992,Education,TCH SOC ST,58,33,25
