,Fall,College,Major Name,Total,Male,Female,Illinois,Non-Illinois
3033,1995,Applied Health Sciences,Kinesiology,453,216,237,394,59
3034,1995,Applied Health Sciences,Leisure Studies,229,108,121,190,39
3032,1995,Applied Health Sciences,HLTH PL AD,56,17,39,54,2
3038,1995,Applied Health Sciences,Rehabilitation,32,5,27,23,9
3037,1995,Applied Health Sciences,PROG MANAG,18,6,12,15,3
3035,1995,Applied Health Sciences,MSPH IN C HLTH,15,0,15,12,3
3031,1995,Applied Health Sciences,HLTH EDUC,13,1,12,13,0
3029,1995,Applied Health Sciences,Biology,3,2,1,3,0
3041,1995,Applied Health Sciences,THER REC,2,1,1,2,0
3030,1995,Applied Health Sciences,CUR INST#3,1,0,1,1,0
