,Fall,College,Major Name,Total,Male,Female
7527,2017,Education,Accountancy,1296,582,714
7529,2017,Education,Advertising,632,205,427
7536,2017,Education,"Educ Policy, Orgzn & Leadrshp ",522,157,365
7528,2017,Education,Actuarial Science,335,214,121
7540,2017,Education,Elementary Education,296,17,279
7546,2017,Education,Special Education,175,21,154
7531,2017,Education,Anthropology,149,48,101
7533,2017,Education,Curriculum and Instruction,91,22,69
7543,2017,Education,Middle Grades Education,76,17,59
7538,2017,Education,Educational Policy Studies,68,27,41
