,Fall,College,Major Name,Total,Male,Female
7753,2018,Education,Accountancy,1430,656,774
7762,2018,Education,"Educ Policy, Orgzn & Leadrshp ",705,222,481
7755,2018,Education,Advertising,645,207,438
7754,2018,Education,Actuarial Science,398,231,167
7766,2018,Education,Elementary Education,302,23,279
7772,2018,Education,Special Education,160,19,140
7757,2018,Education,Anthropology,152,50,102
7769,2018,Education,Middle Grades Education,82,20,62
7759,2018,Education,Curriculum and Instruction,79,17,62
7760,2018,Education,Early Childhood Education,56,2,54
