,Fall,College,Major Name,Total,Male,Female
2836,1994,Applied Health Sciences,Kinesiology,440,226,214
2837,1994,Applied Health Sciences,Leisure Studies,157,73,84
2835,1994,Applied Health Sciences,HLTH PL AD,92,26,66
2840,1994,Applied Health Sciences,PROG MANAG,41,16,25
2841,1994,Applied Health Sciences,Rehabilitation,28,9,19
2831,1994,Applied Health Sciences,Biology,24,13,11
2834,1994,Applied Health Sciences,HLTH EDUC,22,2,20
2838,1994,Applied Health Sciences,MSPH IN C HLTH,10,1,9
2844,1994,Applied Health Sciences,THER REC,9,2,7
2833,1994,Applied Health Sciences,CUR INST#3,5,3,2
