,Fall,College,Major Name,Total,Male,Female,Illinois,Non-Illinois
5372,2007,Education,Accountancy,1120,594,519,864,256
5374,2007,Education,Advertising,386,99,287,341,45
5382,2007,Education,Elementary Education,367,27,340,330,37
5373,2007,Education,Actuarial Science,281,199,82,219,62
5385,2007,Education,Pre-Early Chld/Elem Ed/Spec Ed,272,22,250,265,7
5375,2007,Education,Anthropology,220,74,146,166,54
5378,2007,Education,Ed Organization and Leadership,185,63,122,175,10
5387,2007,Education,Special Education,143,21,122,123,20
5380,2007,Education,Educational Policy Studies,130,45,85,67,63
5386,2007,Education,Secondary & Continuing Educ,120,44,76,59,61
