,Fall,College,Major Name,Total,Male,Female
1280,1986,Education,Elementary Education,388,17,371
1275,1986,Education,EDUC GEN,187,43,144
1277,1986,Education,Ed Organization and Leadership,143,72,71
1279,1986,Education,Educational Psychology,135,55,80
1273,1986,Education,ED SEC&CON,129,51,78
1274,1986,Education,EDUC ELEMENTARY,124,22,102
1278,1986,Education,Educ Voc Tech,107,52,55
1276,1986,Education,Early Childhood Education,87,0,87
1281,1986,Education,Special Education,73,11,62
1272,1986,Education,ED POL ST,49,22,27
