,Fall,College,Major Name,Male,Female
1933,1989,LAS,African American Studies,0,1
1934,1989,LAS,Anthropology,39,39
1935,1989,LAS,Applied Mathematics,10,11
1936,1989,LAS,Asian Studies,15,18
1937,1989,LAS,Astronomy,13,2
1938,1989,LAS,Atmospheric Sciences,23,5
1939,1989,LAS,BIOCH,106,67
1940,1989,LAS,Biochemistry,67,45
1941,1989,LAS,Biology,75,63
1942,1989,LAS,Biophysics & Computnl Biology,34,9
1943,1989,LAS,Chemical Engineering,266,104
1944,1989,LAS,Chemical Physics,3,2
1945,1989,LAS,Chemistry,317,145
1946,1989,LAS,Classical Philology,7,1
1947,1989,LAS,Classics,4,3
1948,1989,LAS,Comparative Literature,13,16
1949,1989,LAS,English,63,67
1950,1989,LAS,Entomology,13,6
1951,1989,LAS,French,19,32
1952,1989,LAS,GEN CURR,971,1133
1953,1989,LAS,Geography,27,12
1954,1989,LAS,Geology,35,8
1955,1989,LAS,German,16,20
1956,1989,LAS,History,88,41
1957,1989,LAS,Italian,0,2
1958,1989,LAS,LAS TCH MATH,5,11
1959,1989,LAS,Linguistics,43,48
1960,1989,LAS,Mathematics,160,48
1961,1989,LAS,Microbiology,35,28
1962,1989,LAS,Molecular & Integrative Physi,35,23
1963,1989,LAS,PRE-JOURN,183,356
1964,1989,LAS,PRE-MED,90,79
1965,1989,LAS,PUB ADMIN,2,1
1966,1989,LAS,Philosophy,27,10
1967,1989,LAS,Plant Biology,7,25
1968,1989,LAS,Political Science,41,20
1969,1989,LAS,Portuguese,0,2
1970,1989,LAS,Psychology,112,88
1971,1989,LAS,Slavic Languages & Literature,15,13
1972,1989,LAS,Sociology,15,24
1973,1989,LAS,Speech Communication,18,31
1974,1989,LAS,TCH BIOL,7,12
1975,1989,LAS,TCH ENGL,13,60
1976,1989,LAS,TCH PHY SC,1,0
1977,1989,LAS,TCH RUSS,1,2
1978,1989,LAS,TCH SOC ST,8,8
1979,1989,LAS,TCH SPEECH,1,7
1980,1989,LAS,TEACH CS,1,3
1981,1989,LAS,UNCLASS,89,111
1982,1989,LAS,UNCM FR&SO,134,154
