,Fall,College,Major Name,Total,Male,Female,Illinois,Non-Illinois
4653,2003,Education,Elementary Education,309,32,277,304,5
4648,2003,Education,EDUC GEN,292,24,268,280,12
4650,2003,Education,Ed Organization and Leadership,165,75,90,151,14
4652,2003,Education,Educational Psychology,136,46,90,31,105
4655,2003,Education,Special Education,134,16,118,109,25
4645,2003,Education,ED POL ST,112,38,74,61,51
4646,2003,Education,ED SEC&CON,101,31,70,38,63
4647,2003,Education,EDUC ELEMENTARY,88,12,76,48,40
4651,2003,Education,Educ Voc Tech,86,37,49,57,29
4649,2003,Education,Early Childhood Education,63,3,60,62,1
