,Fall,College,Major Name,Male,Female
5953,2010,Applied Health Sciences,Athletic Training,9,25
5954,2010,Applied Health Sciences,Audiology,5,16
5955,2010,Applied Health Sciences,Community Health,126,424
5956,2010,Applied Health Sciences,Health,20,59
5957,2010,Applied Health Sciences,Kinesiology,279,372
5958,2010,Applied Health Sciences,Nondegree,3,5
5959,2010,Applied Health Sciences,Public Health,5,8
5960,2010,Applied Health Sciences,"Recreation, Sport, and Tourism ",237,139
5961,2010,Applied Health Sciences,Rehabilitation,2,4
5962,2010,Applied Health Sciences,Speech & Hearing Science,14,322
