,Fall,College,Major Name,Total,Male,Female
2448,1992,Applied Health Sciences,Kinesiology,308,176,132
2452,1992,Applied Health Sciences,PROG MANAG,138,64,74
2442,1992,Applied Health Sciences,Biology,119,66,53
2447,1992,Applied Health Sciences,HLTH PL AD,70,24,46
2449,1992,Applied Health Sciences,Leisure Studies,43,21,22
2453,1992,Applied Health Sciences,Rehabilitation,29,8,21
2455,1992,Applied Health Sciences,THER REC,29,5,24
2446,1992,Applied Health Sciences,HLTH EDUC,17,1,16
2454,1992,Applied Health Sciences,SOC SCI SP,13,10,3
2444,1992,Applied Health Sciences,CUR INST#1,9,7,2
