,Fall,College,Major Name,Male,Female
6173,2011,Applied Health Sciences,Athletic Training,5,12
6174,2011,Applied Health Sciences,Audiology,5,13
6175,2011,Applied Health Sciences,Community Health,155,448
6176,2011,Applied Health Sciences,Health,33,106
6177,2011,Applied Health Sciences,Kinesiology,270,377
6178,2011,Applied Health Sciences,Nondegree,7,5
6179,2011,Applied Health Sciences,Public Health,8,22
6180,2011,Applied Health Sciences,"Recreation, Sport, and Tourism ",242,132
6181,2011,Applied Health Sciences,Rehabilitation,3,7
6182,2011,Applied Health Sciences,Speech & Hearing Science,15,347
