,Fall,College,Major Name,Total,Male,Female,Illinois,Non-Illinois
5970,2010,Business,Curric Unassigned,1020,583,437,839,181
5971,2010,Business,Finance,578,388,190,358,220
5968,2010,Business,Business Administration (MBA),319,221,97,214,105
5974,2010,Business,Marketing,201,68,133,182,19
5973,2010,Business,Management,181,91,89,159,22
5975,2010,Business,Nondegree,61,39,22,0,61
5978,2010,Business,Technology Management,59,42,17,3,56
5967,2010,Business,Business Administration,58,31,27,10,48
5976,2010,Business,Supply Chain Management,52,32,20,47,5
5972,2010,Business,Information Sys & Info Tech,32,25,7,30,2
