,Fall,College,Major Name,Total,Male,Female
5202,2006,Engineering,Electrical Engineering,1195,1045,150
5210,2006,Engineering,Mechanical Engineering,1079,952,125
5200,2006,Engineering,Computer Science,987,867,118
5198,2006,Engineering,Civil Engineering,793,638,155
5207,2006,Engineering,General Engineering,580,469,111
5199,2006,Engineering,Computer Engineering,477,439,36
5194,2006,Engineering,Aerospace Engineering,426,372,54
5209,2006,Engineering,Materials Science & Engr,403,300,103
5213,2006,Engineering,Physics,298,258,40
5201,2006,Engineering,Electrical & Computer Engr,163,135,28
