,Fall,College,Major Name,Total,Male,Female
6665,2013,Engineering,Computer Science,1514,1292,222
6663,2013,Engineering,Civil Engineering,1287,970,317
6677,2013,Engineering,Mechanical Engineering,1197,1041,155
6667,2013,Engineering,Electrical Engineering,1170,1034,135
6664,2013,Engineering,Computer Engineering,791,721,70
6676,2013,Engineering,Materials Science & Engr,602,453,149
6658,2013,Engineering,Aerospace Engineering,536,476,60
6666,2013,Engineering,Electrical & Computer Engr,494,423,71
6674,2013,Engineering,General Engineering,320,248,72
6675,2013,Engineering,Industrial Engineering,296,230,66
