,Fall,College,Major Name,Total,Male,Female
108,1980,Engineering,Electrical Engineering,1645,1497,148
112,1980,Engineering,Mechanical Engineering,1012,934,78
101,1980,Engineering,Civil Engineering,902,792,110
109,1980,Engineering,GEN ENGR,618,485,133
103,1980,Engineering,Computer Science,480,367,113
97,1980,Engineering,Aero & Astro Engineering,379,351,28
102,1980,Engineering,Computer Engineering,286,252,34
111,1980,Engineering,METAL ENGR,190,159,31
110,1980,Engineering,Industrial Engineering,188,130,58
113,1980,Engineering,Nuclear Engineering,187,178,9
