,Fall,College,Major Name,Male,Female
5567,2008,Education,Accountancy,617,527
5568,2008,Education,Actuarial Science,189,105
5569,2008,Education,Advertising,134,326
5570,2008,Education,African American Studies,1,0
5571,2008,Education,Anthropology,81,162
5572,2008,Education,Applied Mathematics,14,14
5573,2008,Education,Curriculum and Instruction,5,31
5574,2008,Education,Early Childhood Education,1,54
5575,2008,Education,Ed Organization and Leadership,58,104
5576,2008,Education,Educational Policy Studies,54,84
5577,2008,Education,Educational Psychology,31,74
5578,2008,Education,Elementary Education,26,318
5579,2008,Education,Human Resource Education,31,48
5580,2008,Education,Pre-Early Chld/Elem Ed/Spec Ed,24,264
5581,2008,Education,Secondary & Continuing Educ,35,51
5582,2008,Education,Secondary Education,1,2
5583,2008,Education,Special Education,20,112
