Fall,College,Major Name,Total,Male,Female,Unknown,Caucasian,Asian American,African American,Hispanic,Native American,Hawaiian/Pacific Isl,Multiracial,International,Unknown.1,All African American,All Native American,All Hawaiian/ Pac Isl,All Asian,Illinois,Non-Illinois
1980,ACES,Agricultural & Applied Econ,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1980,ACES,Agricultural Communications,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1980,LAS,Classics,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1980,ACES,Teaching of Biological Science,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1980,ACES,Teaching of French,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1980,ACES,Teaching of Latin,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1980,ACES,Teaching of Latin,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
1980,Engineering,ENGR MECH,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1980,Engineering,ENGR MECH,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1980,ACES,GEN AGRIC,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1980,ACES,HOME EC ED,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
1980,ACES,HR&FS,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1980,ACES,HR&FS GEN,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1980,Engineering,Industrial Engineering,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1980,LAS,LAS TCH MATH,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1980,Applied Health Sciences,Leisure Studies,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1980,ACES,Mechanical Agriculture,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1980,LAS,TCH SOC ST,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
1980,ACES,Animal Sciences,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0
1980,Engineering,CER ENGR,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0
1980,Engineering,CER ENGR,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0
1980,ACES,Teaching of Mathematics,2,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0
1980,Engineering,ENGR PHYS,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0
1980,ACES,HOME MGMT,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0
1980,LAS,Italian,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0
1980,Education,TCH GEN SCIENCE,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0
1980,Education,TCH PHYS SCI,2,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0
1980,Engineering,Aero & Astro Engineering,3,3,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,3,0
1980,ACES,Teaching of Chemistry,3,2,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0
1980,LAS,Zoology,3,1,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,1
1980,Fine and Applied Arts,Architecture,4,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0
1980,Engineering,CERAMICS,4,4,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,1,3
1980,ACES,Teaching of Chemistry,4,1,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0
1980,ACES,Teaching of German,4,1,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,3
1980,Engineering,ENGR PHYS,4,4,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,4,0
1980,Fine and Applied Arts,Music History,4,1,3,0,3,0,0,0,0,0,0,1,0,0,0,0,0,3,1
1980,ACES,ORN HORT,4,2,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0
1980,LAS,TCH ENGL,4,2,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,1
1980,ACES,Agr & Environmental Cmc & Educ,5,4,1,0,4,0,0,0,0,0,0,1,0,0,0,0,0,2,3
1980,Applied Life Sciences,Community Health,5,0,5,0,3,0,0,1,0,0,0,1,0,0,0,0,0,4,1
1980,Engineering,Computer Science,5,4,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0
1980,Education,EDUC IDISC,5,2,3,0,2,0,2,0,0,0,0,1,0,0,0,0,0,3,2
1980,ACES,Teaching of German,5,1,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0
1980,Engineering,ENV SCI,5,5,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,3,2
1980,ACES,GEN H ECON,5,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,4,1
1980,Law,Law,5,3,2,0,4,0,0,0,0,0,0,1,0,0,0,0,0,2,3
1980,Engineering,Nuclear Engineering,5,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0
1980,ACES,Wood Sciences,5,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0
1980,LAS,Chemical Physics,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,5
1980,Engineering,Electrical Engineering,6,5,1,0,4,2,0,0,0,0,0,0,0,0,0,0,0,6,0
1980,Business,Teaching of Spanish,6,0,6,0,4,0,0,2,0,0,0,0,0,0,0,0,0,4,2
1980,LAS,Genetics,6,3,3,0,4,0,0,0,0,0,0,2,0,0,0,0,0,1,5
1980,ACES,HR&FS A&ID,6,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,5,1
1980,Engineering,Civil Engineering,7,3,4,0,7,0,0,0,0,0,0,0,0,0,0,0,0,6,1
1980,Engineering,GEN ENGR,7,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,7,0
1980,Engineering,Mechanical Engineering,7,5,2,0,7,0,0,0,0,0,0,0,0,0,0,0,0,7,0
1980,Engineering,Agricultural Engineering,8,8,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,8,0
1980,LAS,Classics,8,7,1,0,7,0,0,0,0,0,0,1,0,0,0,0,0,2,6
