,Fall,College,Major Name,Total,Male,Female,Illinois,Non-Illinois
3141,1995,LAS,GEN CURR,2446,1082,1364,2318,128
3134,1995,LAS,Chemistry,491,334,157,229,262
3132,1995,LAS,Chemical Engineering,475,330,145,364,111
3153,1995,LAS,PRE-JOURN,316,112,204,291,25
3154,1995,LAS,PRE-MED,293,138,155,277,16
3170,1995,LAS,UNCLASS,246,112,134,103,143
3169,1995,LAS,TRANSITION,224,102,122,208,16
3128,1995,LAS,BIOCH,211,115,96,190,21
3159,1995,LAS,Psychology,205,84,121,50,155
3171,1995,LAS,UNCM FR&SO,202,101,101,198,4
