Major Name,Caucasian,Asian American,African American,Hispanic,Native American,Hawaiian/Pacific Isl,International,Unknown.1,All African American,All Native American,All Hawaiian/ Pac Isl,All Asian
Architectural Studies,379,61,15,50,2,0,38,9,0,0,0,0
Architecture,111,19,4,13,1,0,34,12,0,0,0,0
Art Education,72,6,1,5,1,0,4,0,0,0,0,0
Art Foundation,83,24,10,10,0,0,8,5,0,0,0,0
Art History,21,0,0,2,0,0,6,2,0,0,0,0
Art and Design,22,4,0,1,2,0,15,1,0,0,0,0
Crafts,10,0,0,1,1,0,1,1,0,0,0,0
Dance,59,3,11,6,0,0,2,1,0,0,0,0
Graphic Design,42,15,1,1,0,0,4,1,0,0,0,0
History of Art,12,0,0,0,0,0,1,0,0,0,0,0
Industrial Design,61,19,2,11,0,0,17,7,0,0,0,0
Instrumental Music,68,13,2,4,1,0,3,3,0,0,0,0
Jazz Performance,30,2,5,2,1,0,0,1,0,0,0,0
Landscape Architecture,90,5,4,9,0,0,27,4,0,0,0,0
Music,180,13,4,9,1,0,125,13,0,0,0,0
Music Composition,9,1,0,0,0,0,0,1,0,0,0,0
Music Education,209,13,3,7,0,0,2,9,0,0,0,0
Music History,4,0,0,1,0,0,1,1,0,0,0,0
Musicology,11,0,1,1,0,0,5,0,0,0,0,0
New Media,15,1,2,0,0,0,3,1,0,0,0,0
Nondegree,13,0,0,0,0,0,17,0,0,0,0,0
Open Studies,8,2,0,1,0,0,1,0,0,0,0,0
Painting,17,4,1,7,0,0,2,0,0,0,0,0
Photography,28,0,1,2,0,0,2,0,0,0,0,0
Regional Planning,8,2,0,0,0,0,15,0,0,0,0,0
Sculpture,4,1,0,0,0,0,0,0,0,0,0,0
Theatre,130,6,18,8,1,0,10,7,0,0,0,0
Urban Planning,85,7,20,17,1,0,23,6,0,0,0,0
Voice,25,1,2,1,0,0,0,1,0,0,0,0
