Major Name,Caucasian,Asian American,African American,Hispanic,Native American,Hawaiian/Pacific Isl,International,Unknown.1,All African American,All Native American,All Hawaiian/ Pac Isl,All Asian
Athletic Training,27,1,1,0,0,0,0,0,0,0,0,0
Audiology,18,0,1,0,0,0,0,0,0,0,0,0
Community Health,289,88,124,60,6,0,8,13,0,0,0,0
Health,8,2,5,2,0,0,1,1,0,0,0,0
Kinesiology,498,31,28,51,4,0,27,17,0,0,0,0
Leisure Studies,2,0,0,0,0,0,1,0,0,0,0,0
Nondegree,3,0,1,0,0,0,0,0,0,0,0,0
Public Health,5,0,0,0,0,0,0,0,0,0,0,0
"Recreation, Sport, and Tourism ",289,13,54,25,2,0,31,15,0,0,0,0
Rehabilitation,2,0,0,0,1,0,0,1,0,0,0,0
Speech & Hearing Science,273,13,10,19,3,0,12,10,0,0,0,0
