Major Name,Caucasian,Asian American,African American,Hispanic,Native American,Hawaiian/Pacific Isl,International,Unknown.1,All African American,All Native American,All Hawaiian/ Pac Isl,All Asian
Agr & Consumer Economics,408,50,22,25,0,0,85,4,25,2,0,0
Agr & Environmental Cmc & Educ,67,2,5,1,0,0,1,0,7,1,0,0
Agr Engineering & Agr Science,17,1,1,1,0,0,0,0,2,0,0,0
Agricultural & Applied Econ,10,2,0,2,0,0,23,0,0,0,0,0
Agricultural & Biological Engr,22,6,4,2,0,0,3,0,4,0,0,0
Agricultural Education,7,0,0,0,0,0,0,0,0,0,0,0
Agricultural Production,5,0,0,1,0,0,1,1,0,0,0,0
Animal Sciences,419,25,24,41,1,1,40,1,26,7,0,0
Bioenergy,10,1,0,0,0,0,1,0,0,0,0,0
Bioinformatics,2,0,0,0,0,0,8,0,0,0,0,0
Crop Sciences,146,6,2,0,1,0,41,1,3,1,0,0
Food Science & Human Nutrition,278,61,18,28,0,0,99,2,19,4,0,0
Horticulture,28,1,1,1,0,0,1,1,1,0,0,0
Human & Community Development,18,3,3,1,0,0,2,0,3,0,0,0
Human Development & Family St,149,13,27,20,2,1,2,1,28,2,0,0
Natural Res & Env Sciences,57,1,0,2,1,0,17,0,0,1,0,0
Natural Resrcs & Environ Sci,185,11,3,8,0,0,20,0,4,1,0,0
Nondegree,57,1,1,2,0,0,24,1,1,1,0,0
Nutritional Sciences,29,7,2,2,0,0,9,0,2,0,0,0
Plant Pathology,0,0,0,0,0,0,1,0,0,0,0,0
