Major Name,Caucasian,Asian American,African American,Hispanic,Native American,Hawaiian/Pacific Isl,International,Unknown.1,All African American,All Native American,All Hawaiian/ Pac Isl,All Asian
Agr & Consumer Economics,433,63,27,20,0,0,89,5,28,2,0,0
Agr & Environmental Cmc & Educ,15,1,1,0,0,0,1,0,2,1,0,0
Agr Engineering & Agr Science,3,0,0,0,0,0,0,0,1,0,0,0
Agric Leadership & Sci Educ,32,1,7,1,0,0,2,0,7,0,0,0
Agricultural & Applied Econ,16,3,0,3,0,0,32,0,1,1,0,0
Agricultural & Biological Engr,37,13,7,8,0,0,7,0,7,0,0,0
Agricultural Education,5,0,0,0,0,0,0,0,0,0,0,0
Agricultural Production,5,1,0,0,0,0,2,1,0,0,0,0
Animal Sciences,429,28,22,49,0,1,40,2,25,9,0,0
Bioenergy,6,1,0,0,0,0,2,0,0,0,0,0
Bioinformatics,2,3,0,0,0,0,2,0,0,0,0,0
Crop Sciences,167,4,4,5,1,0,45,0,5,1,0,0
Food Science & Human Nutrition,279,68,18,33,0,1,107,1,23,5,0,0
Horticulture,27,3,0,3,0,0,0,1,0,0,0,0
Human & Community Development,15,4,2,3,0,0,0,0,2,0,0,0
Human Development & Family St,146,13,35,22,1,0,3,1,37,2,0,0
Natural Res & Env Sciences,58,1,1,1,1,0,16,1,1,2,0,0
Natural Resrcs & Environ Sci,171,14,4,13,0,0,32,0,6,3,0,0
Nondegree,77,2,1,2,1,0,39,1,1,2,0,0
Nutritional Sciences,21,5,1,4,0,0,7,0,1,0,0,0
