Major Name,Caucasian,Asian American,African American,Hispanic,Native American,Hawaiian/Pacific Isl,International,Unknown.1,All African American,All Native American,All Hawaiian/ Pac Isl,All Asian
Architectural Studies,382,47,12,35,1,0,11,0,0,0,0,0
Architecture,151,15,3,2,0,0,19,0,0,0,0,0
Art Education,74,5,8,2,0,0,11,0,0,0,0,0
Art History,96,6,2,2,0,0,3,0,0,0,0,0
Art and Design,290,49,12,25,4,0,9,0,0,0,0,0
Crafts,27,2,2,0,0,0,0,0,0,0,0,0
Dance,40,1,2,1,0,0,7,0,0,0,0,0
Graphic Design,80,22,3,6,0,0,3,0,0,0,0,0
Industrial Design,51,11,3,1,0,0,2,0,0,0,0,0
Landscape Architecture,109,4,2,4,0,0,16,0,0,0,0,0
MUS-VOICE,39,4,2,2,0,0,1,0,0,0,0,0
MUSIC(AMS),59,0,1,0,0,0,11,0,0,0,0,0
MUSIC-COMP,8,0,0,1,0,0,0,0,0,0,0,0
MUSIC-INST,55,14,6,2,1,0,7,0,0,0,0,0
MUSIC-OPEN,3,0,0,0,0,0,1,0,0,0,0,0
Music,87,4,2,3,0,0,31,0,0,0,0,0
Music Education,226,10,9,5,0,0,13,0,0,0,0,0
Music History,2,1,0,0,0,0,0,0,0,0,0,0
PERFORM ST,12,0,0,0,0,0,0,0,0,0,0,0
Regional Planning,12,0,1,1,0,0,13,0,0,0,0,0
Theatre,24,2,2,1,1,0,1,0,0,0,0,0
UNCLASS,14,2,2,0,1,0,11,0,0,0,0,0
Urban Planning,135,5,8,9,0,0,12,0,0,0,0,0
