Major Name,Caucasian,Asian American,African American,Hispanic,Native American,Hawaiian/Pacific Isl,International,Unknown.1,All African American,All Native American,All Hawaiian/ Pac Isl,All Asian
Biology,28,0,1,0,0,0,1,0,0,0,0,0
HEALTH&SAF,12,0,0,0,0,0,0,0,0,0,0,0
HLTH EDUC,65,1,12,0,0,0,1,0,0,0,0,0
Kinesiology,252,1,6,1,0,0,19,0,0,0,0,0
Leisure Studies,43,0,2,0,0,0,3,0,0,0,0,0
MOTOR DEV,32,1,0,0,0,0,0,0,0,0,0,0
MOTOR P&SP,23,1,1,0,0,0,0,0,0,0,0,0
OUTDR REC,37,0,0,0,0,0,0,0,0,0,0,0
PROG MANAG,94,1,7,0,0,0,0,0,0,0,0,0
SCH HEALTH,15,0,0,0,0,0,0,0,0,0,0,0
SOC SCI SP,4,0,1,0,0,0,0,0,0,0,0,0
TCH KINES,7,0,0,0,0,0,1,0,0,0,0,0
THER REC,75,0,2,0,1,0,0,0,0,0,0,0
