Major Name,Caucasian,Asian American,African American,Hispanic,Native American,Hawaiian/Pacific Isl,International,Unknown.1,All African American,All Native American,All Hawaiian/ Pac Isl,All Asian
Architectural Studies,415,45,24,32,2,0,8,0,0,0,0,0
Architecture,121,7,0,5,0,0,17,0,0,0,0,0
Art Education,70,11,4,6,0,0,9,0,0,0,0,0
Art History,39,3,1,1,0,0,7,0,0,0,0,0
Art and Design,266,34,4,11,2,0,11,0,0,0,0,0
Crafts,29,3,1,1,1,0,1,0,0,0,0,0
Dance,51,3,5,2,0,0,3,0,0,0,0,0
Graphic Design,79,21,1,4,1,0,2,0,0,0,0,0
Industrial Design,55,14,0,5,1,0,1,0,0,0,0,0
Landscape Architecture,109,11,4,6,0,0,10,0,0,0,0,0
MUS-VOICE,42,2,6,1,0,0,1,0,0,0,0,0
MUSIC(AMS),49,4,2,2,0,0,37,0,0,0,0,0
MUSIC-COMP,7,3,0,0,0,0,0,0,0,0,0,0
MUSIC-INST,84,15,1,1,1,0,9,0,0,0,0,0
MUSIC-OPEN,2,0,0,0,0,0,0,0,0,0,0,0
Music,86,8,3,2,0,0,39,0,0,0,0,0
Music Education,258,12,2,12,0,0,6,0,0,0,0,0
Music History,4,0,0,0,1,0,0,0,0,0,0,0
PERFORM ST,29,3,1,0,0,0,0,0,0,0,0,0
Regional Planning,7,0,0,0,0,0,7,0,0,0,0,0
Theatre,38,0,0,1,0,0,0,0,0,0,0,0
UNCLASS,16,2,0,2,1,0,17,0,0,0,0,0
Urban Planning,108,12,9,2,0,0,16,0,0,0,0,0
