Major Name,Caucasian,Asian American,African American,Hispanic,Native American,Hawaiian/Pacific Isl,International,Unknown.1,All African American,All Native American,All Hawaiian/ Pac Isl,All Asian
Architectural Studies,451,56,18,28,0,0,6,0,0,0,0,0
Architecture,191,16,6,3,0,0,24,0,0,0,0,0
Art Education,60,8,5,3,0,0,9,0,0,0,0,0
Art History,81,11,1,1,0,0,5,0,0,0,0,0
Art and Design,264,50,13,16,3,0,9,0,0,0,0,0
Crafts,14,0,1,1,0,0,0,0,0,0,0,0
Dance,26,0,4,1,0,0,4,0,0,0,0,0
Graphic Design,97,12,3,4,0,0,3,0,0,0,0,0
Industrial Design,65,6,0,2,0,0,1,0,0,0,0,0
Landscape Architecture,125,7,3,6,0,0,6,0,0,0,0,0
MUS-VOICE,30,5,4,1,0,0,0,0,0,0,0,0
MUSIC(AMS),62,1,2,3,0,0,9,0,0,0,0,0
MUSIC-COMP,13,0,1,0,0,0,0,0,0,0,0,0
MUSIC-INST,70,5,3,2,1,0,6,0,0,0,0,0
MUSIC-OPEN,3,0,0,0,0,0,0,0,0,0,0,0
Music,97,5,6,2,0,0,27,0,0,0,0,0
Music Education,200,11,8,6,0,0,7,0,0,0,0,0
PERFORM ST,10,0,1,0,0,0,0,0,0,0,0,0
Regional Planning,11,0,1,0,0,0,10,0,0,0,0,0
Theatre,22,1,0,0,0,0,1,0,0,0,0,0
UNCLASS,26,2,0,0,0,0,9,0,0,0,0,0
Urban Planning,135,8,10,7,0,0,6,0,0,0,0,0
