Major Name,Caucasian,Asian American,African American,Hispanic,Native American,Hawaiian/Pacific Isl,International,Unknown.1,All African American,All Native American,All Hawaiian/ Pac Isl,All Asian
Biology,101,4,6,4,0,0,0,0,0,0,0,0
CUR INST 2,3,0,0,0,0,0,0,0,0,0,0,0
CUR INST#1,4,2,0,0,0,0,0,0,0,0,0,0
CUR INST#3,14,0,0,0,0,0,0,0,0,0,0,0
HLTH EDUC,17,3,8,2,0,0,0,0,0,0,0,0
HLTH PL AD,46,4,2,0,0,0,0,0,0,0,0,0
Kinesiology,185,9,5,4,0,0,24,0,0,0,0,0
Leisure Studies,25,2,0,0,0,0,15,0,0,0,0,0
MSPH IN C HLTH,2,0,0,0,0,0,0,0,0,0,0,0
OUTDR REC,22,0,0,0,0,0,0,0,0,0,0,0
PERSN AREA,1,0,0,0,0,0,0,0,0,0,0,0
PROG MANAG,127,2,4,3,0,0,0,0,0,0,0,0
Rehabilitation,9,0,0,0,0,0,0,0,0,0,0,0
SOC SCI SP,13,0,0,0,0,0,0,0,0,0,0,0
THER REC,35,2,2,1,0,0,0,0,0,0,0,0
