Major Name,Caucasian,Asian American,African American,Hispanic,Native American,Hawaiian/Pacific Isl,International,Unknown.1,All African American,All Native American,All Hawaiian/ Pac Isl,All Asian
Biology,2,0,0,0,0,0,0,0,0,0,0,0
HEALTH&SAF,1,0,0,0,0,0,0,0,0,0,0,0
HLTH EDUC,9,0,5,1,0,0,1,0,0,0,0,0
HLTH PL AD,34,1,21,4,0,0,0,0,0,0,0,0
Kinesiology,382,29,20,16,1,0,24,0,0,0,0,0
Leisure Studies,183,10,14,6,3,0,13,0,0,0,0,0
MSPH IN C HLTH,7,0,2,1,0,0,3,0,0,0,0,0
PARK & NR MGMT,3,0,0,0,0,0,0,0,0,0,0,0
PROG MANAG,0,1,2,0,0,0,0,0,0,0,0,0
"Recreation, Sport, and Tourism ",6,0,0,0,0,0,0,0,0,0,0,0
Rehabilitation,15,1,4,0,1,0,3,0,0,0,0,0
TCH KINES,1,0,0,0,0,0,0,0,0,0,0,0
THER REC,1,0,0,0,0,0,0,0,0,0,0,0
