Major Name,Caucasian,Asian American,African American,Hispanic,Native American,Hawaiian/Pacific Isl,International,Unknown.1,All African American,All Native American,All Hawaiian/ Pac Isl,All Asian
Athletic Training,13,1,0,2,0,0,0,0,0,1,0,0
Audiology,16,0,1,0,0,0,0,0,2,0,0,0
Community Health,288,86,124,73,2,2,12,3,130,5,0,0
Health,88,18,13,9,0,0,0,4,16,1,0,0
Kinesiology,464,48,32,53,2,2,32,5,34,4,0,0
Nondegree,10,0,1,0,0,0,1,0,1,0,0,0
Public Health,13,11,2,1,0,0,3,0,2,0,0,0
"Recreation, Sport, and Tourism ",259,13,34,31,2,0,30,0,35,2,0,0
Rehabilitation,8,0,1,0,0,0,0,0,2,0,0,0
Speech & Hearing Science,313,15,1,19,0,1,8,1,2,2,0,0
