Major Name,Caucasian,Asian American,African American,Hispanic,Native American,Hawaiian/Pacific Isl,International,Unknown.1,All African American,All Native American,All Hawaiian/ Pac Isl,All Asian
Audiology,21,5,2,0,0,0,0,0,2,0,0,5
Community Health,250,106,131,97,0,0,11,3,144,7,2,117
Health,1,1,2,0,0,0,0,0,2,0,0,1
Interdisciplinary Health Sci,96,26,19,39,1,0,4,2,24,5,3,37
Kinesiology,406,68,35,62,2,1,24,6,41,6,5,81
Nondegree,12,3,0,1,0,0,3,1,0,1,0,3
Public Health,12,5,3,3,0,0,1,0,3,0,0,6
"Recreation, Sport, and Tourism ",208,12,46,18,0,2,25,0,52,3,2,14
Rehabilitation,1,0,0,0,0,0,0,0,0,0,0,0
Speech & Hearing Science,259,27,10,35,0,0,11,2,11,4,2,33
