Major Name,Caucasian,Asian American,African American,Hispanic,Native American,Hawaiian/Pacific Isl,International,Unknown.1,All African American,All Native American,All Hawaiian/ Pac Isl,All Asian
Architectural Studies,392,53,12,36,2,0,9,0,0,0,0,0
Architecture,161,14,4,4,0,0,20,0,0,0,0,0
Art Education,49,8,7,3,0,0,11,0,0,0,0,0
Art History,77,12,1,1,0,0,5,0,0,0,0,0
Art and Design,266,48,13,22,3,0,9,0,0,0,0,0
Crafts,22,1,1,0,0,0,0,0,0,0,0,0
Dance,31,1,4,0,0,0,6,0,0,0,0,0
Graphic Design,89,20,3,4,0,0,3,0,0,0,0,0
Industrial Design,59,7,2,3,0,0,2,0,0,0,0,0
Landscape Architecture,107,4,4,4,0,0,14,0,0,0,0,0
MUS-VOICE,38,5,4,3,0,0,1,0,0,0,0,0
MUSIC(AMS),69,0,2,1,0,0,12,0,0,0,0,0
MUSIC-COMP,16,0,1,1,0,0,0,0,0,0,0,0
MUSIC-INST,57,13,5,1,0,0,8,0,0,0,0,0
MUSIC-OPEN,5,0,0,0,0,0,0,0,0,0,0,0
Music,89,3,8,3,0,0,33,0,0,0,0,0
Music Education,198,11,8,2,1,0,10,0,0,0,0,0
Music History,2,0,0,0,0,0,0,0,0,0,0,0
PERFORM ST,11,0,0,0,0,0,0,0,0,0,0,0
Regional Planning,11,0,2,0,0,0,11,0,0,0,0,0
Theatre,27,1,1,0,0,0,1,0,0,0,0,0
UNCLASS,20,2,0,1,0,0,14,0,0,0,0,0
Urban Planning,142,5,11,8,0,0,8,0,0,0,0,0
